"state","w"
"AK",0
"AL",5.91416762648929e-16
"AR",4.74089278204809e-16
"AZ",9.33469763878083e-16
"CO",0
"CT",8.21982976083149e-17
"DC",0
"DE",4.1163497729422e-16
"GA",0.0984297871984907
"HI",0
"IA",0
"ID",0
"IL",0
"IN",0
"KS",0
"KY",6.30581087487428e-16
"LA",3.37438852166332e-16
"MA",0
"MD",0
"ME",4.83166227973094e-16
"MI",0.0668501493136194
"MN",0
"MO",0
"MS",0
"MT",1.87470083772066e-17
"NC",0
"ND",5.81696583160061e-17
"NE",0
"NH",1.1361562691964e-15
"NM",0
"NV",0.11182663082671
"OH",7.73248742135966e-16
"OK",0
"OR",0.72289343266117
"PA",6.26739312950277e-16
"RI",0
"SC",0
"SD",6.14935469735412e-16
"TN",8.14696620941068e-18
"UT",8.70052779329192e-18
"VA",0
"VT",2.20446341174695e-15
"WI",0
"WV",0
"WY",2.8249491576599e-18
