"age_group","agi_class","outcome","estimate","p.raw","p.smooth"
1,1,"pct_outflow_n1",0.00719022700605528,0.133333333333333,0.177455456898632
1,1,"net_outflow_n1",99.3748578521431,0.155555555555556,0.178937915906465
1,1,"net_outflow_agi",194.820465142424,0.288888888888889,0.3397706809032
1,2,"pct_outflow_n1",-0.00123766588844462,0.533333333333333,0.551198753010641
1,2,"net_outflow_n1",46.2084593059644,0.333333333333333,0.3351109213643
1,2,"net_outflow_agi",65.8190782322235,0.377777777777778,0.404520680526563
1,3,"pct_outflow_n1",0.000914650554371973,0.355555555555556,0.380703579365865
1,3,"net_outflow_n1",-737.856812428326,0.955555555555556,0.9430975226819
1,3,"net_outflow_agi",-24410.495047957,0.955555555555556,0.928177551724
1,4,"pct_outflow_n1",-0.00612123744419931,0.822222222222222,0.814168658795079
1,4,"net_outflow_n1",-576.888044005457,0.977777777777778,0.96779958389623
1,4,"net_outflow_agi",-37428.2055040174,0.977777777777778,0.971204360364034
1,5,"pct_outflow_n1",-0.018824851491001,0.866666666666667,0.848373820080283
1,5,"net_outflow_n1",-309.090608300726,1,0.993330153235431
1,5,"net_outflow_agi",-26084.3522231433,1,0.993858484797697
1,6,"pct_outflow_n1",-0.013297347531873,0.688888888888889,0.685429983478271
1,6,"net_outflow_n1",-521.808125864545,1,0.999999999999837
1,6,"net_outflow_agi",-69174.2830638797,1,0.999999999999886
1,7,"pct_outflow_n1",NA,NA,NA
1,7,"net_outflow_n1",NA,NA,NA
1,7,"net_outflow_agi",NA,NA,NA
2,1,"pct_outflow_n1",0.000113120299639207,0.466666666666667,0.479388867016694
2,1,"net_outflow_n1",228.565453468025,0.0222222222222222,0.024454356485839
2,1,"net_outflow_agi",817.675494129076,0.0666666666666667,0.100513787498551
2,2,"pct_outflow_n1",-0.0014257502383727,0.6,0.605621711792056
2,2,"net_outflow_n1",-61.9105243876607,0.622222222222222,0.605264976181529
2,2,"net_outflow_agi",-259.061316108953,0.533333333333333,0.519248008738802
2,3,"pct_outflow_n1",-0.000905007034361142,0.577777777777778,0.551468524179348
2,3,"net_outflow_n1",-727.883416138809,1,0.983687722699496
2,3,"net_outflow_agi",-24902.032836593,1,0.976426742955529
2,4,"pct_outflow_n1",0.00360599537529965,0.155555555555556,0.198150909258375
2,4,"net_outflow_n1",-268.170718198547,0.844444444444444,0.815707885487323
2,4,"net_outflow_agi",-15405.3070292861,0.822222222222222,0.789483423879707
2,5,"pct_outflow_n1",0.00386638397924027,0.377777777777778,0.389201102361723
2,5,"net_outflow_n1",-192.865873944603,0.866666666666667,0.867841254158321
2,5,"net_outflow_agi",-16590.6882366199,0.866666666666667,0.872342593897075
2,6,"pct_outflow_n1",0.0107779049820333,0.2,0.206118558973474
2,6,"net_outflow_n1",-266.982866620216,0.844444444444444,0.842758324186598
2,6,"net_outflow_agi",-35367.2499209429,0.844444444444444,0.838131033636176
2,7,"pct_outflow_n1",-0.000157399734728031,0.488888888888889,0.471675004577983
2,7,"net_outflow_n1",-42.3621479599792,0.688888888888889,0.651729825875317
