"term","agi_class","outcome","estimate","p.raw","p.smooth"
"beta",1,"pct_outflow_n1",0.00231915894500223,0.155555555555556,0.185817776176224
"beta",1,"net_outflow_n1",571.13610383308,0.0666666666666667,0.0787152286295286
"beta",1,"net_outflow_agi",1708.41235552082,0.155555555555556,0.161886234380237
"beta",2,"pct_outflow_n1",-0.00047776229152896,0.511111111111111,0.536706831943509
"beta",2,"net_outflow_n1",231.24831388319,0.222222222222222,0.235560728865657
"beta",2,"net_outflow_agi",4923.50610178421,0.177777777777778,0.218062407005424
"beta",3,"pct_outflow_n1",0.000936684896689329,0.333333333333333,0.356024181295702
"beta",3,"net_outflow_n1",-925.116347484291,0.933333333333333,0.914419237688567
"beta",3,"net_outflow_agi",-29047.872208339,0.911111111111111,0.889576672640877
"beta",4,"pct_outflow_n1",0.0026208029219559,0.155555555555556,0.197637445660074
"beta",4,"net_outflow_n1",-383.672233518035,0.8,0.751318271299038
"beta",4,"net_outflow_agi",-24760.499775236,0.8,0.763130196389999
"beta",5,"pct_outflow_n1",0.00264098529527072,0.244444444444444,0.282198958197272
"beta",5,"net_outflow_n1",-54.8030151874494,0.577777777777778,0.58039175089553
"beta",5,"net_outflow_agi",-3767.66055837455,0.533333333333333,0.568625179364941
"beta",6,"pct_outflow_n1",0.00445152122066898,0.0444444444444444,0.0542771310040084
"beta",6,"net_outflow_n1",111.522256667296,0.333333333333333,0.369041374463642
"beta",6,"net_outflow_agi",21266.7312058856,0.333333333333333,0.355888678667088
