"term","year","outcome","estimate","p.raw","p.smooth"
"beta",2013,"pct_outflow_n1",-0.00207923037192617,0.755555555555556,0.696083987623177
"beta",2013,"net_outflow_n1",-42.4414881204444,0.622222222222222,0.631779256290241
"beta",2013,"net_outflow_agi",424668.816031904,0,0.0104012781240845
"beta",2014,"pct_outflow_n1",-0.000101123672067278,0.555555555555556,0.534347249198693
"beta",2014,"net_outflow_n1",-111.276423265836,0.866666666666667,0.807708628847813
"beta",2014,"net_outflow_agi",53767.9654297345,0.355555555555556,0.392176716977327
"beta",2015,"pct_outflow_n1",0.00117770613572686,0.466666666666667,0.444611123228911
"beta",2015,"net_outflow_n1",-281.690919052281,0.688888888888889,0.684835619168056
"beta",2015,"net_outflow_agi",-196824.55684352,0.644444444444444,0.596680297354911
"beta",2016,"pct_outflow_n1",-0.00640094600251382,0.822222222222222,0.821454886140893
"beta",2016,"net_outflow_n1",-535.526872574329,0.844444444444444,0.826759239027521
"beta",2016,"net_outflow_agi",-28831.7004853235,0.622222222222222,0.593268552810181
"beta",2017,"pct_outflow_n1",0.00293193936280511,0.422222222222222,0.400253510048713
"beta",2017,"net_outflow_n1",590.591373715922,0.111111111111111,0.0921613517548805
"beta",2017,"net_outflow_agi",84643.7942382563,0.355555555555556,0.387873612803739
"beta",2018,"pct_outflow_n1",-0.00141890265138784,0.488888888888889,0.505737702583834
"beta",2018,"net_outflow_n1",230.153447126896,0.0888888888888889,0.0999214512300487
"beta",2018,"net_outflow_agi",651581.004889194,0,0.000132674172477502
"beta",2019,"pct_outflow_n1",0.00198767314533222,0.244444444444444,0.252116412790173
"beta",2019,"net_outflow_n1",491.400712136715,0.133333333333333,0.170006472477307
"beta",2019,"net_outflow_agi",-495543.280110134,0.866666666666667,0.87082551153963
"beta",2020,"pct_outflow_n1",-0.00400038603201811,0.6,0.611267379101922
"beta",2020,"net_outflow_n1",440.47128502737,0.133333333333333,0.14801342555882
"beta",2020,"net_outflow_agi",682627.953016787,0.0888888888888889,0.111857613778633
