"term","outcome","estimate","p.raw","p.smooth"
"alpha","pct_outflow_n1",0.0971037162760859,0.177777777777778,0.15538453100378
"gamma","pct_outflow_n1",-0.0124755838676785,0.777777777777778,0.737303101657798
"lambda","pct_outflow_n1",-0.00873134929345999,0.844444444444444,0.811288656799044
"beta","pct_outflow_n1",0.0085682404149864,0.0444444444444444,0.0634537773495786
"alpha","net_outflow_n1",-480.386991944614,0.8,0.761940434531745
"gamma","net_outflow_n1",591.386991944614,0.244444444444444,0.291537654435461
"lambda","net_outflow_n1",443.204149500233,0.111111111111111,0.163962060615031
"beta","net_outflow_n1",1024.79585049977,0,0.0116646872301527
"alpha","net_outflow_agi",-416272.797274932,0.844444444444444,0.787566391707224
"lambda","net_outflow_agi",507168.80109722,0.0666666666666667,0.0686319678025745
"beta","net_outflow_agi",1368440.19890278,0,0.00122611545364005
