"state","year","agi_group","age_group","net_n1","outflow_rate","net_y2_agi"
"WA",2016,0,0,29967,0.0298012690950817,2249791
"WA",2016,0,1,7811,0.0542860343733034,285042
"WA",2016,0,2,11116,0.051649786846061,638454
"WA",2016,0,3,4659,0.0302544179535078,496531
"WA",2016,0,4,2541,0.0179054805501114,330261
"WA",2016,0,5,1919,0.0151869782009896,310537
"WA",2016,0,6,1921,0.014846341906156,188968
"WA",2016,1,0,2133,0.0492496848503687,13265
"WA",2016,1,1,582,0.0795949089913781,3980
"WA",2016,1,2,702,0.075171319986833,4590
"WA",2016,1,3,266,0.0537787254205165,1536
"WA",2016,1,4,180,0.0379426644182125,1128
"WA",2016,1,5,154,0.0284315059175622,909
"WA",2016,1,6,249,0.0201310279056267,1121
"WA",2016,2,0,7478,0.0426258134513449,132850
"WA",2016,2,1,3231,0.0598196696469162,59043
"WA",2016,2,2,2372,0.0614058061526684,42561
"WA",2016,2,3,716,0.0390338164251208,12181
"WA",2016,2,4,501,0.0289435925029145,8436
"WA",2016,2,5,256,0.0238762283085929,4168
"WA",2016,2,6,402,0.0160568685296263,6460
"WA",2016,3,0,7855,0.031264907505664,281934
"WA",2016,3,1,2541,0.0446084004238107,87964
"WA",2016,3,2,3398,0.0489514336641507,123138
"WA",2016,3,3,802,0.0297767201845318,29078
"WA",2016,3,4,435,0.0174977138923423,16647
"WA",2016,3,5,354,0.0140827147401909,13740
"WA",2016,3,6,325,0.0142264986120489,11367
"WA",2016,4,0,4451,0.0245960370156461,274473
"WA",2016,4,1,879,0.0404790182106097,54361
"WA",2016,4,2,1778,0.0467742456374538,108263
"WA",2016,4,3,798,0.029139214106271,48996
"WA",2016,4,4,397,0.0147008337420304,25128
"WA",2016,4,5,291,0.0114846771794109,18402
"WA",2016,4,6,308,0.0129657603222558,19323
"WA",2016,5,0,2614,0.0219070069907332,225665
"WA",2016,5,1,385,0.0500675067506751,32896
"WA",2016,5,2,1139,0.0438994793909265,97877
"WA",2016,5,3,566,0.0278139387204318,49383
"WA",2016,5,4,225,0.0143493624212629,19621
"WA",2016,5,5,189,0.0115716105823278,16269
"WA",2016,5,6,110,0.013230887437572,9618
"WA",2016,6,0,3787,0.0206985087582314,509593
"WA",2016,6,1,166,0.05864129232131,19956
"WA",2016,6,2,1443,0.0442445605931688,190726
"WA",2016,6,3,941,0.0254701628357102,128147
"WA",2016,6,4,508,0.0145190112181078,69063
"WA",2016,6,5,370,0.0134224598930481,53241
"WA",2016,6,6,359,0.0136492086363078,48460
"WA",2016,7,0,1649,0.0240189001181257,812012
"WA",2016,7,1,27,0.0605913717886573,26842
"WA",2016,7,2,284,0.0526315789473684,71298
"WA",2016,7,3,570,0.0289088752717928,227210
"WA",2016,7,4,295,0.0202190229122522,190238
"WA",2016,7,5,305,0.0187163202463433,203807
"WA",2016,7,6,168,0.0174775950279848,92617
"WA",2017,0,0,35592,0.041107240333678,2789843
"WA",2017,0,1,8030,0.0749465974977113,296046
"WA",2017,0,2,16090,0.0681677127484052,1164896
"WA",2017,0,3,6327,0.0414889341485245,788920
"WA",2017,0,4,2259,0.0260217251242403,223497
"WA",2017,0,5,1540,0.0231824161666189,229208
"WA",2017,0,6,1346,0.0234843650287173,87275
"WA",2017,1,0,2247,0.0568333871637521,13555
"WA",2017,1,1,595,0.0901229943185366,3651
"WA",2017,1,2,719,0.0885515122873346,4593
"WA",2017,1,3,227,0.0609887921715879,1545
"WA",2017,1,4,135,0.0455775618157215,941
"WA",2017,1,5,207,0.0331464673429436,1294
"WA",2017,1,6,364,0.0275677471035305,1531
"WA",2017,2,0,7229,0.0534932111663854,129385
"WA",2017,2,1,2714,0.0768641353015574,49206
"WA",2017,2,2,2691,0.0744268009668069,48977
"WA",2017,2,3,851,0.0485517816211711,14697
"WA",2017,2,4,415,0.0375242804167402,7388
"WA",2017,2,5,223,0.0320948782535684,3720
"WA",2017,2,6,335,0.0252489031387108,5396
"WA",2017,3,0,8688,0.0443636946081612,310646
"WA",2017,3,1,2730,0.0691749571349691,94955
"WA",2017,3,2,4167,0.0664021726763197,150222
"WA",2017,3,3,1172,0.0387530376061658,44151
"WA",2017,3,4,396,0.0249480869159157,14398
"WA",2017,3,5,148,0.022827288464346,5178
"WA",2017,3,6,75,0.0234972479064107,1743
"WA",2017,4,0,5536,0.0377571146801916,339845
"WA",2017,4,1,1063,0.0725093162124545,65638
"WA",2017,4,2,2826,0.0666320875236531,174041
"WA",2017,4,3,921,0.0425090607397057,55991
"WA",2017,4,4,345,0.023077203514443,21045
"WA",2017,4,5,218,0.0196619564831156,13680
"WA",2017,4,6,163,0.0214716499383694,9450
"WA",2017,5,0,4015,0.0340552777811407,347846
"WA",2017,5,1,708,0.0688462747563659,60644
"WA",2017,5,2,2075,0.066196960933803,180349
"WA",2017,5,3,663,0.0424735386095742,58012
"WA",2017,5,4,266,0.0226366895957404,23097
"WA",2017,5,5,209,0.0193442234146631,18175
"WA",2017,5,6,94,0.0211089551361204,7569
"WA",2017,6,0,5477,0.0314291945641621,745789
"WA",2017,6,1,220,0.0714285714285714,24984
"WA",2017,6,2,2936,0.0602736528867754,391830
"WA",2017,6,3,1467,0.0386074920038309,209511
"WA",2017,6,4,383,0.0233165878085005,54736
"WA",2017,6,5,222,0.0214292522724713,30519
"WA",2017,6,6,249,0.0224233762108941,34211
"WA",2017,7,0,2400,0.0314904294809315,902776
"WA",2017,7,1,0,0.105058365758755,-3032
