"state","year","agi_class","age_group","total_n1","total_n2","nonmig_y1_agi","outflow_n1","outflow_n2","samest_y1_agi","net_outflow_n1","pct_outflow_n1","net_outflow_n2","pct_outflow_n2","outflow_agi","net_outflow_agi","total_agi","pct_outflow_agi"
"AL",2016,0,"0",1668624,3700914,95808228,44000,89218,2288780,461,0.0534680071723768,-2140,0.0241070178880136,2528403,150812,100346717,0.0251966688656092
"AL",2016,0,"1",174382,344202,3099074,9678,15790,260454,777,0.0905483364108681,676,0.0458742250190295,271241,57088,3538976,0.0766439218576221
"AL",2016,0,"2",299139,690390,9983822,14618,29434,593183,1734,0.0983957290757808,1919,0.042633873607671,657350,90906,11092227,0.0592622202917412
"AL",2016,0,"3",302864,863239,16828032,8063,21940,467961,8,0.0724417560357124,-638,0.0254159045177523,514098,1049,17773899,0.028924323245001
"AL",2016,0,"4",307044,753024,22617288,5127,11468,406614,-423,0.0373496958090697,-1186,0.0152292622811491,501573,61333,23442888,0.0213955294245317
"AL",2016,0,"5",286091,552869,22874538,3342,5901,322722,-947,0.0206263042178887,-1694,0.0106734144978286,341339,-41733,23586428,0.0144718394832825
"AL",2016,0,"6",299104,497190,20405471,3172,4685,237844,-688,0.0156634481651867,-1217,0.00942295701844365,242800,-17831,20912297,0.0116103936358593
"AL",2016,1,"0",133029,215205,1424108,5306,8159,81577,-238,0.0613324914116471,-600,0.0379126879022328,33034,-1007,1580537,0.0209004914152595
"AL",2016,1,"1",27698,41865,220954,1776,2443,23345,-45,0.0882013141743086,-178,0.0583542338468888,11169,-484,262349,0.0425730610751327
"AL",2016,1,"2",25608,44813,245670,1618,2693,22951,72,0.105162449234614,22,0.0600941691027157,10320,557,287332,0.0359166399844083
"AL",2016,1,"3",16297,32564,176375,700,1357,12396,-23,0.0832668589310916,-41,0.041671784793023,4517,-15,199753,0.0226129269648015
"AL",2016,1,"4",14859,25642,173046,466,720,7778,-30,0.0484554815263477,-109,0.028078933000546,2872,-112,189496,0.015155992738633
"AL",2016,1,"5",16781,25289,218390,326,439,5697,-118,0.0261605387044872,-157,0.0173593261892522,1840,-572,233027,0.00789608071167719
"AL",2016,1,"6",31786,45032,389671,420,507,9408,-94,0.0159504184232052,-137,0.0112586605080831,2314,-380,408577,0.00566355913328455
"AL",2016,2,"0",435173,900497,7425810,12723,23450,316074,334,0.0538866152082046,-209,0.0260411750400057,217539,8170,7979521,0.0272621627288154
"AL",2016,2,"1",85501,162272,1119161,4366,6998,89346,372,0.0818469959415679,297,0.0431251232498521,75046,7074,1270383,0.0590735234964574
"AL",2016,2,"2",101356,234086,1535862,4136,8039,98568,301,0.0793144954418091,112,0.0343420794067138,70914,5824,1706431,0.0415569102999184
"AL",2016,2,"3",73860,194199,1247926,1870,4589,51466,36,0.0621310587598159,7,0.0236303997445919,31473,954,1336903,0.0235417229223063
"AL",2016,2,"4",55886,119429,1032114,1039,1985,31186,-59,0.0355187345667967,-86,0.016620753753276,17793,-754,1087196,0.016365954252959
"AL",2016,2,"5",48447,84598,1016479,585,891,19133,-181,0.0183912316552108,-320,0.0105321638809428,9841,-3084,1055103,0.00932705148217757
"AL",2016,2,"6",70123,105913,1474266,727,948,26373,-135,0.0135191021490809,-219,0.00895074259061683,12469,-1845,1523502,0.00818443297087893
"AL",2016,3,"0",445189,923458,14809482,11346,21984,531969,604,0.0493812740206968,346,0.0238061720186516,408894,23788,15723617,0.0260050852167157
"AL",2016,3,"1",48704,110794,1153379,2666,4747,97343,236,0.0974663272010513,253,0.0428452804303482,91581,9984,1313484,0.0697237271257206
"AL",2016,3,"2",92507,196115,2658450,4483,8713,184556,658,0.0941874668943972,743,0.0444280141753563,163595,24548,2971025,0.0550634881901027
"AL",2016,3,"3",84689,213914,2799215,1800,4437,105277,19,0.0523916919552716,-112,0.0207419804220388,66484,332,2973653,0.0223576859842086
"AL",2016,3,"4",80050,167554,2822314,1070,2090,69902,-43,0.0261086820737039,-105,0.0124735906036263,38853,-1661,2937119,0.0132282689261143
"AL",2016,3,"5",70533,123478,2705430,686,1096,42144,-123,0.0155388257978535,-185,0.00887607509029949,25058,-4348,2784546,0.00899895350983607
"AL",2016,3,"6",68706,111603,2670691,641,901,32744,-143,0.0131138474077955,-248,0.0080732596793993,23321,-5067,2743788,0.00849956337734548
"AL",2016,4,"0",241717,543388,13784520,5626,12196,378041,42,0.0504556981925144,-205,0.0224443675605645,343478,294,14487356,0.0237088120151117
"AL",2016,4,"1",9098,21017,359417,594,1036,29134,138,0.113871180479226,166,0.0492934291288005,35503,8468,408219,0.0869704741817505
"AL",2016,4,"2",39440,98316,1922155,2236,4815,115742,359,0.122084178498986,597,0.0489747345294764,136010,21319,2135817,0.0636805494103661
"AL",2016,4,"3",47102,134458,2615865,1271,3564,87546,-39,0.0756655768332555,-107,0.0265064183611239,77783,-3288,2780269,0.0279767892962875
"AL",2016,4,"4",51011,118677,3002139,690,1441,69150,-114,0.0282488090803944,-336,0.012142201100466,42596,-7319,3122687,0.0136408163866567
"AL",2016,4,"5",49579,94266,3072182,421,735,43211,-129,0.014824825026725,-214,0.00779708484501305,26050,-8060,3154721,0.00825746555717605
"AL",2016,4,"6",45487,76654,2812760,414,605,33256,-173,0.0133005034405435,-311,0.00789260834398727,25533,-10827,2885640,0.00884829708487545
"AL",2016,5,"0",157044,400289,12612108,3398,8300,265593,20,0.0528514301724358,-311,0.0207350189488095,293422,1238,13150908,0.022311919450733
"AL",2016,5,"1",2240,5328,124007,173,315,9582,50,0.140625,67,0.0591216216216216,14706,4288,141405,0.103999151373714
"AL",2016,5,"2",21086,60125,1459956,1058,2448,74293,178,0.116095987859243,208,0.0407151767151767,90624,15132,1597786,0.0567184842025152
"AL",2016,5,"3",32189,107807,2507861,953,3010,62395,38,0.0935102053496536,-47,0.0279202649178625,82318,2703,2644588,0.0311269657126176
"AL",2016,5,"4",35533,96799,2910750,510,1300,49355,-103,0.0365857090591844,-231,0.0134298908046571,44343,-8833,3010289,0.0147304793659346
"AL",2016,5,"5",34657,72468,2953051,356,650,38427,-127,0.0187552298237008,-263,0.00896947618259094,31223,-10884,3035035,0.0102875255145328
"AL",2016,5,"6",31339,57762,2656481,348,577,31537,-16,0.0184115638661093,-45,0.00998926629964336,30207,-1167,2721801,0.0110981662509493
"AL",2016,6,"0",201588,559446,24575567,4349,11610,445366,-160,0.057592713852015,-778,0.0207526731802533,586965,-20615,25564384,0.0229602637794832
"AL",2016,6,"1",993,2534,80194,91,211,11700,29,0.212487411883182,68,0.0832675611681137,11617,3810,97353,0.119328628804454
"AL",2016,6,"2",17163,50997,1706282,942,2352,81580,138,0.137038979199441,224,0.0461203600211777,123141,17317,1870273,0.065841190029477
"AL",2016,6,"3",39952,145922,4610375,1186,3957,108328,-13,0.0990438526231478,-285,0.0271172270116912,159150,-385,4856850,0.0327681521974119
"AL",2016,6,"4",54241,170436,6740585,1007,2863,105110,-40,0.052782950166848,-230,0.0167980942993264,138001,-5603,6978517,0.0197751184098283
"AL",2016,6,"5",49764,113164,6364214,652,1369,85424,-190,0.0275098464753637,-387,0.0120974868332685,91080,-25034,6561804,0.0138803292509194
"AL",2016,6,"6",39475,76393,5073914,471,858,53223,-84,0.021735275490817,-168,0.0112313955467124,63974,-10720,5199584,0.0123036766018205
"AL",2016,7,"0",54884,158631,21176631,1252,3519,270156,-141,0.0641170468624736,-383,0.0221835580687255,645066,138942,21860391,0.0295084383440351
"AL",2016,7,"1",148,392,41958,12,40,0,-3,0.27027027027027,3,0.102040816326531,31616,23948,45779,0.690622337753118
"AL",2016,7,"2",1979,5938,455444,145,374,15491,28,0.188984335522991,13,0.062984169754126,62743,6209,523559,0.11983940682903
"AL",2016,7,"3",8775,34375,2870413,283,1026,40549,-10,0.116923076923077,-53,0.0298472727272727,92369,747,2981880,0.0309767663353321
"AL",2016,7,"4",15464,54487,5936338,345,1069,74131,-34,0.0691282979824108,-89,0.0196193587461229,217111,85612,6117581,0.0354896812972317
"AL",2016,7,"5",16330,39606,6544789,316,721,88683,-79,0.0441518677281078,-168,0.0182043124779074,156245,10250,6762188,0.0231056870941772
"AL",2016,7,"6",12188,23833,5327686,151,289,51300,-43,0.0237118477190679,-89,0.0121260437208912,84979,12174,5429401,0.015651634498907
"AK",2016,0,"0",285719,596116,20775175,17432,35242,378280,2539,0.123344964808081,5368,0.0591193660294305,1063937,277404,21856570,0.0486781320216301
"AK",2016,0,"1",39392,57333,886605,4307,6413,39907,278,0.162799553208773,480,0.111855301484311,118572,10193,1009457,0.117461169717977
"AK",2016,0,"2",61065,131981,2793996,5324,11571,102661,227,0.18948661262589,804,0.0876717103219403,256460,22428,3098733,0.0827628582391577
"AK",2016,0,"3",47862,137618,3646595,2871,8226,74396,396,0.171869123730726,1136,0.0597741574503335,216108,36197,3882525,0.0556617149921765
"AK",2016,0,"4",47820,113461,4635565,1887,4072,67457,387,0.0851526557925554,800,0.0358889838799235,180869,55401,4819192,0.037530980297112
"AK",2016,0,"5",49891,91694,5177564,1826,3104,62842,794,0.0622156300735604,1357,0.0338517242131437,187625,97412,5325226,0.0352332464387427
"AK",2016,0,"6",39689,64029,3634848,1217,1856,31014,457,0.0467635868880546,791,0.0289868653266489,104300,55773,3721435,0.0280268229862943
"AK",2016,1,"0",17785,25455,204750,1343,1872,9440,86,0.105257239246556,83,0.0735415439010018,7916,257,231429,0.034204874929244
"AK",2016,1,"1",4443,5592,39511,511,639,3017,52,0.143821742066172,54,0.114270386266094,3184,310,47451,0.0671007987186782
"AK",2016,1,"2",3885,6130,43702,346,508,3028,-5,0.130759330759331,-19,0.0828711256117455,1998,-178,51314,0.0389367424094789
"AK",2016,1,"3",1865,3552,21772,151,271,803,5,0.145308310991957,7,0.076295045045045,873,-23,25017,0.0348962705360355
"AK",2016,1,"4",1894,2806,25169,118,167,966,20,0.0881731784582893,9,0.0595153243050606,637,67,28154,0.0226255594231726
"AK",2016,1,"5",2336,3060,31337,113,150,566,26,0.0642123287671233,39,0.0490196078431373,628,142,33309,0.0188537632471704
"AK",2016,1,"6",3362,4315,43257,104,137,1057,-12,0.0407495538370018,-7,0.0317497103128621,593,-63,46181,0.0128407786752127
"AK",2016,2,"0",41967,68896,764018,3634,5350,29554,-232,0.127481116115043,-322,0.0776532745006967,65349,-5210,864861,0.0755601189092814
"AK",2016,2,"1",13506,18085,191936,1624,2053,9468,-182,0.152006515622686,-250,0.113519491291125,29576,-4047,229064,0.129116753396431
"AK",2016,2,"2",9637,17726,164577,1011,1661,8616,-104,0.172356542492477,-82,0.0937041633758321,18355,-1885,195233,0.0940158682189999
"AK",2016,2,"3",4706,11011,92275,335,668,4215,-10,0.141946451338717,-30,0.0606666061211516,5932,-311,103708,0.0571990588961314
"AK",2016,2,"4",4370,8229,90679,258,443,2776,3,0.10137299771167,-12,0.0538340017013003,4530,72,98748,0.0458743468222141
"AK",2016,2,"5",4431,6586,98996,239,322,2126,62,0.0726698262243286,59,0.0488915882174309,4158,1048,105263,0.0395010592515889
"AK",2016,2,"6",5317,7259,125553,167,203,2350,-1,0.0381794244874929,-7,0.0279652844744455,2795,-87,132842,0.0210400325198356
"AK",2016,3,"0",72115,133145,2308737,5574,11017,65582,655,0.152769881439368,1054,0.0827443764317098,197095,21780,2531050,0.0778708441160783
"AK",2016,3,"1",15903,23697,372490,1802,3010,14865,347,0.189272464314909,530,0.127020297928008,58087,10155,422642,0.137437831545374
"AK",2016,3,"2",21075,42368,621759,2140,4746,24312,38,0.225195729537367,63,0.112018504531722,77928,982,714508,0.109065258891433
"AK",2016,3,"3",10609,26235,364033,686,1766,10462,63,0.166462437553021,150,0.0673146559939013,26043,2378,398106,0.0654172506819792
"AK",2016,3,"4",8807,17321,322775,382,692,6401,36,0.0785738617009197,62,0.039951503954737,14095,1572,342245,0.0411839471723473
"AK",2016,3,"5",8874,13652,350388,334,476,5647,100,0.053639846743295,133,0.0348666861998242,12384,3917,366195,0.0338180477614386
"AK",2016,3,"6",6847,9872,277289,230,327,3892,71,0.0477581422520812,116,0.0331239870340357,8556,2777,287351,0.0297754314409903
"AK",2016,4,"0",48124,98859,2666894,2623,6033,64252,552,0.125363643919874,1100,0.0610263101993749,160391,33836,2843021,0.0564156930251307
"AK",2016,4,"1",3692,6373,149474,276,531,6562,54,0.143824485373781,128,0.0833202573356347,16260,2994,164518,0.0988341701212025
"AK",2016,4,"2",11805,26150,574861,954,2334,22962,118,0.197712833545108,301,0.0892543021032505,58147,7104,640475,0.0907873062961084
"AK",2016,4,"3",9359,25055,511491,615,1830,13240,89,0.195533710866546,211,0.0730393135102774,37659,5635,554648,0.0678971167298899
"AK",2016,4,"4",8176,16928,479505,294,611,9920,68,0.0747309197651663,147,0.03609404536862,18230,4072,502953,0.0362459315283933
"AK",2016,4,"5",8416,14112,526023,271,428,7371,109,0.0508555133079848,147,0.030328798185941,16765,6778,544284,0.0308019342843075
"AK",2016,4,"6",6676,10241,425537,213,299,4195,114,0.0447872977831037,166,0.0291963675422322,13327,7253,436140,0.0305567019764296
"AK",2016,5,"0",34628,81068,2721660,1535,3947,57678,471,0.113982904008317,1080,0.048687521586816,132538,40966,2859662,0.0463474354661495
"AK",2016,5,"1",1201,2247,71261,50,102,2666,4,0.0849292256452956,13,0.0453938584779706,4308,407,76228,0.0565146665267356
"AK",2016,5,"2",6562,16719,448935,435,1141,17454,117,0.173879914660165,275,0.0682457084753873,37403,10091,488208,0.0766128371513781
"AK",2016,5,"3",7194,22105,542692,458,1525,14500,112,0.211982207395051,328,0.0689889165347207,39546,9593,584023,0.0677130866421357
"AK",2016,5,"4",6759,16518,551081,231,554,9298,47,0.0819647876904868,113,0.0335391693909674,20053,4322,575916,0.0348193139277256
"AK",2016,5,"5",7109,13339,604792,198,354,9192,104,0.0497960331973555,195,0.0265387210435565,17201,9036,621591,0.0276725370862834
"AK",2016,5,"6",5803,10140,502896,163,271,4566,87,0.046699982767534,156,0.0267258382642998,14025,7517,513695,0.0273021929354967
"AK",2016,6,"0",55560,146980,6807383,2124,5429,112388,788,0.0977141828653708,1856,0.0369369982310518,289708,112284,7069285,0.0409812307751067
