"state","to_WA_n1","from_WA_n1","bilateral_n1"
"AK",314113,315680,629793
"AL",1838935,1830323,3669258
"AR",1128462,1121801,2250263
"AZ",2982984,2950058,5933042
"CA",16121413,16277905,32399318
"CO",2594377,2587827,5182204
"CT",1581028,1581423,3162451
"DC",349539,357922,707461
"DE",437473,431855,869328
"FL",9513616,9384424,18898040
"GA",4138040,4111859,8249899
"HI",638509,642113,1280622
"IA",1325150,1325570,2650720
"ID",765312,751109,1516421
"IL",5280673,5334567,10615240
"IN",2792898,2789625,5582523
"KS",1204217,1206738,2410955
"KY",1727790,1725129,3452919
"LA",1707749,1721678,3429427
"MA",3013219,3038544,6051763
"MD",2601435,2614078,5215513
"ME",607316,599919,1207235
"MI",4129312,4134666,8263978
"MN",2448302,2457392,4905694
"MO",2496446,2492634,4989080
"MS",1101106,1103144,2204250
"MT",486323,478778,965101
"NC",4266322,4224748,8491070
"ND",337573,340642,678215
"NE",815678,817937,1633615
"NH",651897,646355,1298252
"NJ",3901727,3914811,7816538
"NM",856768,857042,1713810
"NV",1409565,1397299,2806864
"NY",8555519,8698124,17253643
"OH",4927362,4933405,9860767
"OK",1477847,1468465,2946312
"OR",1824552,1825285,3649837
"PA",5479596,5488541,10968137
"RI",489933,489836,979769
"SC",2120925,2090862,4211787
"SD",391273,388175,779448
"TN",2820589,2790037,5610626
"TX",11379862,11295204,22675066
"UT",1247095,1239998,2487093
"VA",3590021,3590855,7180876
"VT",303890,302407,606297
"WI",2558507,2559413,5117920
"WV",696099,695407,1391506
"WY",258446,257388,515834
